stock,id,ipoDate,firstTradeDate
BAYRK,120976398,2020-05-29,2020-06-04
BESLR,64303695,,1994-05-13
BEYAZ,64308431,2012-03-22,
BFREN,64303274,1993-12-02,1993-11-22
BIGCH,154104901,2023-05-05,2023-05-10
BIGEN,181989828,2025-02-05,
BIOEN,122419125,2021-04-21,2021-04-28
BIZIM,9668324,2011-01-28,2011-02-03
BJKAS,64304449,2002-02-18,
BLCYT,64308305,2011-05-11,2011-05-17
BLUME,64304506,2002-07-15,
BMSCH,124598719,2021-06-08,
BOBET,124598718,2021-05-28,2021-06-03
BORLS,160250593,,2023-10-19
BRKO,64308367,1985-05-01,2009-04-30
BRKVY,147975650,2022-12-09,2022-12-15
BRMEN,64303314,1996-07-11,1996-07-22
BRSAN,6494518,,1994-09-12
BRYAT,64303317,1996-10-31,
BTCIM,64303312,1995-03-09,1995-03-20
BUCIM,64303319,1988-03-28,
BULGS,183107549,2025-02-25,
BVSAN,150281385,2023-01-30,
BYDNR,140214472,2023-08-21,2023-08-21
CASA,120969750,,2012-07-24
CCOLA,6498826,2006-05-05,2006-05-12
CEMAS,64307850,2010-06-28,2010-07-02
