Hisseler,Unnamed: 1,Son,Değişim Yüzde,Hacim (TL),Saat,stock
LYDYE LYDIA YESIL ENERJI,,"12.930,00",149,"18.185.887,50",15:48,LYDYE
MAALT MARMARIS ALTINYUNUS,,"1.235,00",266,"43.681.871,00",15:51,MAALT
MACKO MACKOLIK INTERNET HIZMETLERI,,4098,-135,"33.724.649,38",15:51,MACKO
MAGEN MARGUN ENERJI,,5825,273,"111.075.599,50",15:51,MAGEN
MAKTK MAKINA TAKIM,,1984,10,"83.276.288,63",15:51,MAKTK
MARMR MARMARA HOLDING,,239,963,"6.524.408,42",15:48,MARMR
MARTI MARTI OTEL,,405,-146,"108.680.188,90",15:51,MARTI
MEGAP MEGA POLIETILEN,,470,0,"5.636.700,60",13:55,MEGAP
MEGMT MEGA METAL,,3452,12,"79.383.296,36",15:51,MEGMT
MEPET METRO PETROL VE TESISLERI,,1516,-79,"6.120.393,23",15:51,MEPET
MERIT MERIT TURIZM,,2076,29,"197.332.689,84",15:50,MERIT
MERKO MERKO GIDA,,1585,319,"261.107.665,59",15:51,MERKO
METRO METRO HOLDING,,417,-24,"33.425.832,00",15:50,METRO
METUR BLUME METAL KIMYA,,5260,-75,"103.368.707,70",15:51,METUR
MGROS MIGROS TICARET,,45800,172,"828.078.524,25",15:51,MGROS
MHRGY MHR GMYO,,470,-42,"44.113.795,01",15:51,MHRGY
MIATK MIA TEKNOLOJI,,4696,303,"1.306.972.024,18",15:51,MIATK
MMCAS MMC SAN. VE TIC. YAT.,,8280,-78,"3.773.010,15",13:55,MMCAS
MOGAN MOGAN ENERJI,,1043,87,"69.714.827,49",15:51,MOGAN
MOPAS MOPAS MARKETCILIK,,3246,-43,"65.873.674,52",15:51,MOPAS
MRGYO MARTI GMYO,,361,-28,"215.634.020,13",15:51,MRGYO
MRSHL MARSHALL,,"2.180,00",999,"130.644.952,00",15:51,MRSHL
MSGYO MISTRAL GMYO,,626,-126,"15.646.299,91",15:51,MSGYO
MTRKS MATRIKS FINANSAL TEKNOLOJILER,,2996,432,"89.053.786,02",15:51,MTRKS
MTRYO METRO YAT. ORT.,,849,278,"2.382.386,94",15:37,MTRYO
MZHLD MAZHAR ZORLU HOLDING,,704,323,"4.345.358,56",15:51,MZHLD
NATEN NATUREL ENERJI,,995,485,"342.938.354,72",15:51,NATEN
NIBAS NIGBAS NIGDE BETON,,2490,-143,"27.274.706,50",15:51,NIBAS
NTHOL NET HOLDING,,4528,62,"88.900.125,18",15:51,NTHOL
NUGYO NUROL GMYO,,1154,9,"36.932.284,82",15:51,NUGYO
NUHCM NUH CIMENTO,,23440,51,"17.383.756,30",15:51,NUHCM
ODAS ODAS ELEKTRIK,,598,153,"191.131.737,65",15:51,ODAS
ODINE ODINE TEKNOLOJI,,15600,156,"102.786.817,40",15:51,ODINE
OFSYM OFIS YEM GIDA,,5980,84,"31.969.186,55",15:50,OFSYM
ONRYT ONUR TEKNOLOJI,,9165,409,"94.727.347,90",15:51,ONRYT
ORCAY ORCAY ORTAKOY CAY SANAYI,,955,-124,"3.942.676,67",15:50,ORCAY
ORMA ORMA ORMAN MAHSULLERI,,20740,746,"5.631.802,00",13:55,ORMA
OSMEN OSMANLI MENKUL,,938,-21,"18.382.704,72",15:51,OSMEN
OTKAR OTOKAR,,56200,312,"280.787.050,00",15:51,OTKAR
OTTO OTTO HOLDING,,47200,244,"57.908.240,00",15:50,OTTO
OYAKC OYAK CIMENTO,,2194,214,"628.594.416,50",15:51,OYAKC
OYAYO OYAK YAT. ORT.,,3840,350,"7.549.300,36",15:48,OYAYO
OYLUM OYLUM SINAI YATIRIMLAR,,1003,670,"12.481.731,11",15:51,OYLUM
OYYAT OYAK YATIRIM MENKUL,,4890,87,"25.232.170,39",15:50,OYYAT
OZATD OZATA DENIZCILIK,,23850,334,"163.359.071,90",15:51,OZATD
OZGYO OZDERICI GMYO,,356,56,"29.173.438,66",15:51,OZGYO
OZKGY OZAK GMYO,,1353,320,"46.766.812,11",15:51,OZKGY
PAGYO PANORA GMYO,,9155,83,"12.156.472,45",15:46,PAGYO
PAMEL PAMEL ELEKTRIK,,11210,-141,"19.188.357,60",15:51,PAMEL
PAPIL PAPILON SAVUNMA,,1877,146,"379.149.303,31",15:51,PAPIL
PATEK PASIFIK TEKNOLOJI,,3448,82,"1.012.670.763,44",15:51,PATEK
PCILT PC ILETISIM MEDYA,,3458,-103,"74.576.531,72",15:51,PCILT
PEKGY PEKER GMYO,,721,-41,"1.524.065.366,04",15:51,PEKGY
PGSUS PEGASUS,,23450,82,"2.764.714.400,40",15:51,PGSUS
PINSU PINAR SU,,1227,-168,"106.297.841,63",15:51,PINSU
PKENT PETROKENT TURIZM,,26200,480,"109.569.895,50",15:51,PKENT
PNLSN PANELSAN CATI CEPHE,,4530,62,"27.545.664,24",15:51,PNLSN
PNSUT PINAR SUT,,1400,0,"31.894.158,26",15:51,PNSUT
POLTK POLITEKNIK METAL,,"12.600,00",961,"160.198.455,00",15:51,POLTK
PRDGS PARDUS GIRISIM,,725,28,"21.325.117,85",15:51,PRDGS
PRKME PARK ELEK.MADENCILIK,,2144,9,"18.280.923,44",15:51,PRKME
PRZMA PRIZMA PRESS MATBAACILIK,,1495,-132,"5.792.563,41",15:50,PRZMA
PSDTC PERGAMON DIS TICARET,,16320,-400,"20.310.068,40",15:49,PSDTC
PSGYO PASIFIK GMYO,,338,-29,"359.204.510,34",15:51,PSGYO
QNBFK QNB FINANSAL KIRALAMA,,6150,336,"1.730.137,40",13:55,QNBFK
QNBTR QNB BANK,,50100,240,"4.373.573,00",13:55,QNBTR
RAYSG RAY SIGORTA,,25375,-10,"103.372.117,75",15:50,RAYSG
REEDR REEDER TEKNOLOJI,,1109,137,"300.275.965,77",15:51,REEDR
RGYAS RONESANS GAYRIMENKUL YAT.,,14480,-89,"106.892.059,80",15:51,RGYAS
RNPOL RAINBOW POLIKARBONAT,,4034,85,"9.065.257,70",15:51,RNPOL
ROYAL ROYAL HALI,,000,0,000,18:10,ROYAL
RTALB RTA LABORATUVARLARI,,374,54,"79.515.134,29",15:50,RTALB
RUZYE RUZY MADENCILIK VE ENERJI,,1211,449,"393.382.473,28",15:51,RUZYE
RYGYO REYSAS GMYO,,2122,-176,"63.166.614,80",15:51,RYGYO
RYSAS REYSAS LOJISTIK,,1499,94,"61.533.531,51",15:51,RYSAS
SAHOL SABANCI HOLDING,,9445,112,"1.540.033.095,00",15:51,SAHOL
SANEL SANEL MUHENDISLIK,,3074,463,"8.401.467,70",15:50,SANEL
SANFM SANIFOAM ENDUSTRI,,1955,77,"146.213.893,68",15:51,SANFM
SARKY SARKUYSAN,,1420,71,"87.996.683,10",15:51,SARKY
SASA SASA POLYESTER,,421,344,"8.150.481.633,16",15:51,SASA
