stock,Onay,Hisse Adı,Sektör,id,Halka Arz Tarihi,İlk İşlem Tarihi
IZENR,Katılım Endeksine Uygun Değildir,İzdemir Enerji,Elektrik Üretim,157824129,2023-08-16,2023-08-16
IZFAS,Katılım Endeksine Uygundur,İzmir Fırça,Boya,64309176,,2014-07-04
IZINV,Katılım Endeksine Uygundur,İz Yatırım Holding,Gıda,64308985,,2013-11-12
IZMDC,Katılım Endeksine Uygun Değildir,İzmir Demir Çelik,Demir-Çelik Temel,64303361,1986-01-24,1986-01-24
JANTS,Katılım Endeksine Uygundur,Jantsa Jant,Otomotiv Parçası,64308731,,2012-08-28
KAPLM,Katılım Endeksine Uygun Değildir,Kaplamin,Kağıt Ürünleri,64303362,1995-08-23,1995-09-04
KAREL,Katılım Endeksine Uygun Değildir,Karel Elektronik,İletişim Cihazları,64305682,2006-10-13,2006-10-20
KARSN,Katılım Endeksine Uygundur,Karsan Otomotiv,Otomotiv,64303075,2000-02-15,2000-02-21
KARTN,Katılım Endeksine Uygun Değildir,Kartonsan,Kağıt Ürünleri,64303364,1986-01-06,1986-01-10
KATMR,Katılım Endeksine Uygundur,Katmerciler Araç Üstü Ekipman,Otomotiv Parçası,9938633,2010-11-05,2010-11-11
KAYSE,Katılım Endeksine Uygun Değildir,Kayseri Şeker,Gıda,154507905,2023-05-18,2023-05-18
KBORU,Katılım Endeksine Uygundur,Kuzey Boru,İnşaat Malzemeleri,162798610,,2023-12-14
KCAER,Katılım Endeksine Uygundur,Kocaer Çelik Sanayi,Demir-Çelik Temel,139769753,2022-06-30,
KCHOL,Katılım Endeksine Uygun Değildir,Koç Holding,Holdingler,6491726,1986-01-10,1986-01-10
KENT,Katılım Endeksine Uygun Değildir,Kent Gıda,Gıda,64303365,1990-11-05,
KERVN,Katılım Endeksine Uygun Değildir,Kervansaray Yat. Holding,Holdingler,64303321,1997-07-15,1997-07-24
KFEIN,Katılım Endeksine Uygun Değildir,Kafein Yazılım,Teknoloji,120974861,2018-05-11,2018-05-16
KGYO,Katılım Endeksine Uygun Değildir,Koray GYO,GYO,6495597,1998-06-11,1998-06-18
KIMMR,Katılım Endeksine Uygundur,Ersan Alışveriş Hizmetleri,Perakande - Ticaret,127280634,2021-09-17,2021-09-22
KLGYO,Katılım Endeksine Uygun Değildir,Kiler GYO,GYO,64308184,2011-04-15,2011-04-20
KLKIM,Katılım Endeksine Uygun Değildir,Kalekim Kimyevi Maddeler,Seramik,122419128,2021-05-07,
KLMSN,Katılım Endeksine Uygun Değildir,Klimasan,Dayanıklı Tüketim,9938290,1997-08-14,1997-08-21
KLNMA,Katılım Endeksine Uygun Değildir,T. Kalkınma Bankası,Bankacılık,64303277,1991-03-06,1991-02-26
KLRHO,Katılım Endeksine Uygun Değildir,Kiler Holding,Holdingler,140214455,2022-07-07,
KLSER,Katılım Endeksine Uygun Değildir,Kaleseramik,Seramik,157074936,2023-07-20,
KLSYN,Katılım Endeksine Uygundur,Koleksiyon Mobilya,Mobilya,133985182,2022-03-04,2022-03-04
KLYPV,Katılım Endeksine Uygun Değildir,Kalyon Güneş Teknolojileri,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,182307537,2023-06-12,
KMPUR,Katılım Endeksine Uygun Değildir,Kimteks Poliüretan,Kimyasal Ürün,137106480,2022-04-28,2022-04-28
KNFRT,Katılım Endeksine Uygundur,Konfrut Gıda,Meşrubat / İçecek,64303696,1996-05-29,1996-06-10
KOCMT,Katılım Endeksine Uygundur,Koç Metalurji,Demir-Çelik Temel,169787511,2024-05-17,
KONKA,Katılım Endeksine Uygundur,Konya Kağıt,Kağıt Ürünleri,129457843,2021-11-26,2021-11-26
KONTR,Katılım Endeksine Uygundur,Kontrolmatik Teknoloji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,120976679,2020-10-13,2020-10-19
KONYA,Katılım Endeksine Uygundur,Konya Çimento,Çimento,64303367,1990-10-26,1990-10-26
KOPOL,Katılım Endeksine Uygundur,Koza Polyester,Endüstriyel Tekstil,153331231,2023-04-07,
KORDS,Katılım Endeksine Uygun Değildir,Kordsa Teknik Tekstil,Endüstriyel Tekstil,9598482,1986-01-06,1986-01-03
KOTON,Katılım Endeksine Uygundur,Koton,Tekstil Entegre,169323827,,2024-05-10
KOZAA,Katılım Endeksine Uygun Değildir,Koza Anadolu Metal,Madencilik,8110829,2003-02-05,2003-03-05
KOZAL,Katılım Endeksine Uygun Değildir,Koza Altın,Madencilik,6500931,2010-02-05,2010-02-12
KRDMA,Katılım Endeksine Uygundur,Kardemir (A),Demir-Çelik Temel,120961703,1998-06-01,1998-06-08
KRDMB,Katılım Endeksine Uygundur,Kardemir (B),Demir-Çelik Temel,120961704,1998-06-01,1998-06-08
KRDMD,Katılım Endeksine Uygundur,Kardemir (D),Demir-Çelik Temel,6496115,1998-06-01,1998-06-08
KRGYO,Katılım Endeksine Uygundur,Korfez GYO,GYO,64309123,2014-05-06,2014-05-06
KRONT,Katılım Endeksine Uygundur,Kron Telekomünikasyon,İletişim,64308168,2011-05-18,
KRPLS,Katılım Endeksine Uygundur,Koroplast Temizlik Ambalaj,Kağıt Ürünleri,141334092,2022-07-28,2022-07-28
KRSTL,Katılım Endeksine Uygundur,Kristal Kola,Meşrubat / İçecek,64303697,1997-08-07,1997-08-26
KRTEK,Katılım Endeksine Uygun Değildir,Karsu Tekstil,Tekstil Entegre,64303363,1994-11-14,1994-11-17
KRVGD,Katılım Endeksine Uygundur,Kervan Gıda,Gıda,120976792,2020-11-27,2020-12-04
KSTUR,Katılım Endeksine Uygun Değildir,Kuştur Turizm,Turizm,120969820,,2012-10-23
KTLEV,Katılım Endeksine Uygundur,Katılımevim,Diğer,155430254,2023-06-07,2023-06-12
KTSKR,Katılım Endeksine Uygun Değildir,Kütahya Şeker,Gıda,124598724,2021-07-02,2021-07-08
KUTPO,Katılım Endeksine Uygundur,Kütahya Porselen,Seramik,64303368,1990-09-19,1990-09-20
KUVVA,Katılım Endeksine Uygun Değildir,Kuvva Gıda,Gıda,64303265,,1998-08-07
KUYAS,Katılım Endeksine Uygundur,Kuyas Yatırım AŞ,İnşaat- Taahhüt,64309713,,2012-09-13
KZBGY,Katılım Endeksine Uygundur,Kızılbük GYO,GYO,126415363,2021-08-12,
KZGYO,Katılım Endeksine Uygun Değildir,Kuzugrup GYO,GYO,158399484,2023-08-28,
LIDER,Katılım Endeksine Uygun Değildir,Lider Turizm,Ulaştırma-Lojistik,136094601,2022-04-04,2022-04-04
LIDFA,Katılım Endeksine Uygun Değildir,Lider Faktoring,Fin.Kiralama ve Faktoring,119260403,2014-06-12,2014-06-19
LILAK,Katılım Endeksine Uygun Değildir,Lila Kağıt,Kağıt Ürünleri,169648354,2024-03-03,
LINK,Katılım Endeksine Uygun Değildir,Link Bilgisayar,Teknoloji,149076091,2000-10-19,2000-10-26
LKMNH,Katılım Endeksine Uygundur,Lokman Hekim Engurusag,Sağlık ve İlaç,9938637,2011-01-26,
LMKDC,Katılım Endeksine Uygundur,Limak Doğu Anadolu Çimento,Çimento,165753075,,2024-02-22
LOGO,Katılım Endeksine Uygundur,Logo Yazılım,Teknoloji,9938281,2000-05-01,
LRSHO,Katılım Endeksine Uygun Değildir,Loras Holding,Holdingler,64307709,1994-06-28,
LUKSK,Katılım Endeksine Uygun Değildir,Lüks Kadife,Tekstil Entegre,64303369,1991-04-29,1991-05-14
LYDHO,Katılım Endeksine Uygun Değildir,Lydia Holding,Holdingler,64303698,1993-09-24,
LYDYE,Katılım Endeksine Uygun Değildir,Tetamat Gıda,Gıda,64308563,2012-11-10,
MAALT,Katılım Endeksine Uygun Değildir,Marmaris Altınyunus,Turizm,64303181,1987-08-28,1987-08-28
MACKO,Katılım Endeksine Uygun Değildir,Maçkolik,Eğlence Hizmetleri,148945002,2023-01-20,2023-01-26
MAGEN,Katılım Endeksine Uygundur,Margün Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,127218859,,2021-09-30
MAKIM,Katılım Endeksine Uygundur,Makim Makina,Endüstriyel Makine -Teçhizat Üretim,139628554,2022-06-17,2022-06-17
MAKTK,Katılım Endeksine Uygun Değildir,Makina Takım,İnşaat Malzemeleri,64303180,1986-01-24,1986-02-03
MANAS,Katılım Endeksine Uygun Değildir,Manas Enerji Yönetimi,Teknoloji,125228598,2021-07-14,2021-07-27
MARBL,Katılım Endeksine Uygundur,Tureks Turunç,Madencilik,161300242,2023-11-08,
MARKA,Katılım Endeksine Uygun Değildir,Marka Yatırım Holding,Holdingler,64304845,2005-05-04,
MARMR,Katılım Endeksine Uygun Değildir,Marmara Holding,Kimyasal Ürün,195450967,2025-09-16,
MARTI,Katılım Endeksine Uygun Değildir,Martı Otel İşletmeleri,Turizm,64307870,1990-02-09,1990-02-09
MAVI,Katılım Endeksine Uygundur,Mavi Giyim Sanayi Tic.A.S,Tekstil Entegre,37412325,2017-06-09,
MEDTR,Katılım Endeksine Uygundur,Meditera Tıbbi Malzeme,Sağlık ve İlaç,124598725,2021-06-25,2021-07-02
MEGAP,Katılım Endeksine Uygun Değildir,Mega Polietilen Köpük,Tekstil Entegre,64308449,2012-08-08,
MEGMT,Katılım Endeksine Uygun Değildir,Mega Metal,İnşaat Malzemeleri,162798612,,2023-12-15
MEKAG,Katılım Endeksine Uygundur,Meka Beton,İnşaat Malzemeleri,160126509,,2023-10-12
MEPET,Katılım Endeksine Uygun Değildir,Metro Petrol ve Tesisleri,Petrol,64308257,2011-07-21,2011-07-25
MERCN,Katılım Endeksine Uygundur,Mercan Kimya,Kimyasal Ürün,124598716,2021-05-21,
MERIT,Katılım Endeksine Uygun Değildir,Merit Turizm Yatırım,Turizm,12739087,2012-11-27,
MERKO,Katılım Endeksine Uygun Değildir,Merko Gıda,Gıda,64303001,1994-10-06,
